Code,Description1,Description2,Last_Updated
T2042001003,Hospice routine home care; per diem                                             Hospice routine home care   0,Hospice routine home care   00      9,09-09-2025
T2043001003,Hospice continuous home care; per hour                                          Hospice continuous home care0,Hospice continuous home care00      9,09-09-2025
T2044001003,Hospice inpatient respite care; per diem                                        Hospice respite care        0,Hospice respite care        00      9,09-09-2025
T2045001003,Hospice general inpatient care; per diem                                        Hospice general care        0,Hospice general care        00      9,09-09-2025
T2046001003,"Hospice long term care, room and board only; per diem                           Hospice long term care, r&b 0","Hospice long term care, r&b 00      9",09-09-2025
T2047001003,"Habilitation, prevocational, waiver; per 15 minutes                             Hab prevo waiver per 15     0",Hab prevo waiver per 15     00      9,09-09-2025
T2048001003,"Behavioral health; long-term care residential (non-acute care in a residential  Bh ltc res r&b, per diem    0","Bh ltc res r&b, per diem    00      9",09-09-2025
T2048002004,"treatment program where stay is typically longer than 30 days), with room and",,09-09-2025
T2048003004,"board, per diem",,09-09-2025
T2049001003,"Non-emergency transportation; stretcher van, mileage; per mile                  N-et; stretcher van, mileage0","N-et; stretcher van, mileage00      9",09-09-2025
T2050001003,"Financial management, self-directed, waiver; per diem                           Financial mgt waiver/diem   0",Financial mgt waiver/diem   00      9,09-09-2025
T2051001003,"Supports brokerage, self-directed, waiver; per diem                             Support broker waiver/diem  0",Support broker waiver/diem  00      9,09-09-2025
T2101001003,"Human breast milk processing, storage and distribution only                     Breast milk proc/store/dist 0",Breast milk proc/store/dist 00      9,09-09-2025
T4521001003,"Adult sized disposable incontinence product, brief/diaper, small, each          Adult size brief/diaper sm  0",Adult size brief/diaper sm  00      960-9,09-09-2025
T4522001003,"Adult sized disposable incontinence product, brief/diaper, medium, each         Adult size brief/diaper med 0",Adult size brief/diaper med 00      960-9,09-09-2025
T4523001003,"Adult sized disposable incontinence product, brief/diaper, large, each          Adult size brief/diaper lg  0",Adult size brief/diaper lg  00      960-9,09-09-2025
T4524001003,"Adult sized disposable incontinence product, brief/diaper, extra large, each    Adult size brief/diaper xl  0",Adult size brief/diaper xl  00      960-9,09-09-2025
T4525001003,"Adult sized disposable incontinence product, protective underwear/pull-on,      Adult size pull-on sm       0",Adult size pull-on sm       00      960-9,09-09-2025
T4525002004,"small size, each",,09-09-2025
T4526001003,"Adult sized disposable incontinence product, protective underwear/pull-on,      Adult size pull-on med      0",Adult size pull-on med      00      960-9,09-09-2025
T4526002004,"medium size, each",,09-09-2025
T4527001003,"Adult sized disposable incontinence product, protective underwear/pull-on,      Adult size pull-on lg       0",Adult size pull-on lg       00      960-9,09-09-2025
T4527002004,"large size, each",,09-09-2025
T4528001003,"Adult sized disposable incontinence product, protective underwear/pull-on,      Adult size pull-on xl       0",Adult size pull-on xl       00      960-9,09-09-2025
T4528002004,"extra large size, each",,09-09-2025
T4529001003,"Pediatric sized disposable incontinence product, brief/diaper, small/medium     Ped size brief/diaper sm/med0",Ped size brief/diaper sm/med00      960-9,09-09-2025
T4529002004,"size, each",,09-09-2025
T4530001003,"Pediatric sized disposable incontinence product, brief/diaper, large size, each Ped size brief/diaper lg    0",Ped size brief/diaper lg    00      960-9,09-09-2025
T4531001003,"Pediatric sized disposable incontinence product, protective underwear/pull-on,  Ped size pull-on sm/med     0",Ped size pull-on sm/med     00      960-9,09-09-2025
T4531002004,"small/medium size, each",,09-09-2025
T4532001003,"Pediatric sized disposable incontinence product, protective underwear/pull-on,  Ped size pull-on lg         0",Ped size pull-on lg         00      960-9,09-09-2025
T4532002004,"large size, each",,09-09-2025
T4533001003,"Youth sized disposable incontinence product, brief/diaper, each                 Youth size brief/diaper     0",Youth size brief/diaper     00      960-9,09-09-2025
T4534001003,"Youth sized disposable incontinence product, protective underwear/pull-on, each Youth size pull-on          0",Youth size pull-on          00      960-9,09-09-2025
T4535001003,"Disposable liner/shield/guard/pad/undergarment, for incontinence, each          Disposable liner/shield/pad 0",Disposable liner/shield/pad 00      960-9,09-09-2025
T4536001003,"Incontinence product, protective underwear/pull-on, reusable, any size, each    Reusable pull-on any size   0",Reusable pull-on any size   00      960-9,09-09-2025
T4537001003,"Incontinence product, protective underpad, reusable, bed size, each             Reusable underpad bed size  0",Reusable underpad bed size  00      960-9,09-09-2025
T4538001003,"Diaper service, reusable diaper, each diaper                                    Diaper serv reusable diaper 0",Diaper serv reusable diaper 00      960-9,09-09-2025
T4539001003,"Incontinence product, diaper/brief, reusable, any size, each                    Reuse diaper/brief any size 0",Reuse diaper/brief any size 00      960-9,09-09-2025
T4540001003,"Incontinence product, protective underpad, reusable, chair size, each           Reusable underpad chair size0",Reusable underpad chair size00      960-9,09-09-2025
T4541001003,"Incontinence product, disposable underpad, large, each                          Large disposable underpad   0",Large disposable underpad   00      9,09-09-2025
T4542001003,"Incontinence product, disposable underpad, small size, each                     Small disposable underpad   0",Small disposable underpad   00      9,09-09-2025
T4543001003,"Adult sized disposable incontinence product, protective brief/diaper, above     Adult disp brief/diap abv xl0",Adult disp brief/diap abv xl00      960-9,09-09-2025
T4543002004,"extra large, each",,09-09-2025
T4544001003,"Adult sized disposable incontinence product, protective underwear/pull-on,      Adlt disp und/pull on abv xl0",Adlt disp und/pull on abv xl00      960-9,09-09-2025
T4544002004,"above extra large, each",,09-09-2025
T4545001003,"Incontinence product, disposable, penile wrap, each                             Incon disposable penile wrap0",Incon disposable penile wrap00      960.9,09-09-2025
T5001001003,Positioning seat for persons with special orthopedic needs                      Position seat spec orth need0,Position seat spec orth need00      9,09-09-2025
T5999001003,"Supply, not otherwise specified                                                 Supply, nos                 0","Supply, nos                 00      9",09-09-2025
U0001001003,Cdc 2019 novel coronavirus (2019-ncov) real-time rt-pcr diagnostic panel        2019-ncov diagnostic p      2,2019-ncov diagnostic p      22      A,09-09-2025
U0002001003,"2019-ncov coronavirus, sars-cov-2/2019-ncov (covid-19), any technique, multiple Covid-19 lab test non-cdc   2",Covid-19 lab test non-cdc   22      A,09-09-2025
U0002002004,"types or subtypes (includes all targets), non-cdc",,09-09-2025
U0003001003,Infectious agent detection by nucleic acid (dna or rna); severe acute           Cov-19 amp prb hgh thruput  2,Cov-19 amp prb hgh thruput  22      A,09-09-2025
U0003002004,respiratory syndrome coronavirus 2 (sars-cov-2) (coronavirus disease,,09-09-2025
U0003003004,"[covid-19]), amplified probe technique, making use of high throughput",,09-09-2025
U0003004004,technologies as described by  cms-2020-01-r,,09-09-2025
U0004001003,"2019-ncov coronavirus, sars-cov-2/2019-ncov (covid-19), any technique, multiple Cov-19 test non-cdc hgh thru2",Cov-19 test non-cdc hgh thru22      A,09-09-2025
U0004002004,"types or subtypes (includes all targets), non-cdc, making use of high",,09-09-2025
U0004003004,throughput technologies as described by cms-2020-01-r,,09-09-2025
U0005001003,Infectious agent detection by nucleic acid (dna or rna); severe acute           Infec agen detec ampli probe2,Infec agen detec ampli probe22      A,09-09-2025
U0005002004,respiratory syndrome coronavirus 2 (sars-cov-2) (coronavirus disease,,09-09-2025
U0005003004,"[covid-19]), amplified probe technique, cdc or non-cdc, making use of high",,09-09-2025
U0005004004,"throughput technologies, completed within 2 calendar days from date of specimen",,09-09-2025
U0005005004,collection (list separately in addition to either hcpcs code u0003 or u0004) as,,09-09-2025
U0005006004,described by cms-2020-01-r2,,09-09-2025
V2020001003,"Frames, purchases                                                               Vision svcs frames purchases3",Vision svcs frames purchases38      A                  2130,09-09-2025
V2025001003,Deluxe frame                                                                    Eyeglasses delux frames     0,Eyeglasses delux frames     00      9                  3045.4,09-09-2025
V2100001003,"Sphere, single vision, plano to plus or minus 4.00, per lens                    Lens spher single plano 4.003",Lens spher single plano 4.0038      A,09-09-2025
V2101001003,"Sphere, single vision, plus or minus 4.12 to plus or minus 7.00d, per lens      Single visn sphere 4.12-7.003",Single visn sphere 4.12-7.0038      A,09-09-2025
V2102001003,"Sphere, single vision, plus or minus 7.12 to plus or minus 20.00d, per lens     Singl visn sphere 7.12-20.003",Singl visn sphere 7.12-20.0038      A,09-09-2025
V2103001003,"Spherocylinder, single vision, plano to plus or minus 4.00d sphere, .12 to      Spherocylindr 4.00d/12-2.00d3",Spherocylindr 4.00d/12-2.00d38      A,09-09-2025
V2103002004,"2.00d cylinder, per lens",,09-09-2025
V2104001003,"Spherocylinder, single vision, plano to plus or minus 4.00d sphere, 2.12 to     Spherocylindr 4.00d/2.12-4d 3",Spherocylindr 4.00d/2.12-4d 38      A,09-09-2025
V2104002004,"4.00d cylinder, per lens",,09-09-2025
V2105001003,"Spherocylinder, single vision, plano to plus or minus 4.00d sphere, 4.25 to     Spherocylinder 4.00d/4.25-6d3",Spherocylinder 4.00d/4.25-6d38      A,09-09-2025
V2105002004,"6.00d cylinder, per lens",,09-09-2025
V2106001003,"Spherocylinder, single vision, plano to plus or minus 4.00d sphere, over 6.00d  Spherocylinder 4.00d/>6.00d 3",Spherocylinder 4.00d/>6.00d 38      A,09-09-2025
V2106002004,"cylinder, per lens",,09-09-2025
V2107001003,"Spherocylinder, single vision, plus or minus 4.25 to plus or minus 7.00 sphere, Spherocylinder 4.25d/12-2d  3",Spherocylinder 4.25d/12-2d  38      A,09-09-2025
V2107002004,".12 to 2.00d cylinder, per lens",,09-09-2025
V2108001003,"Spherocylinder, single vision, plus or minus 4.25d to plus or minus 7.00d       Spherocylinder 4.25d/2.12-4d3",Spherocylinder 4.25d/2.12-4d38      A,09-09-2025
V2108002004,"sphere, 2.12 to 4.00d cylinder, per lens",,09-09-2025
V2109001003,"Spherocylinder, single vision, plus or minus 4.25 to plus or minus 7.00d        Spherocylinder 4.25d/4.25-6d3",Spherocylinder 4.25d/4.25-6d38      A,09-09-2025
V2109002004,"sphere, 4.25 to 6.00d cylinder, per lens",,09-09-2025
V2110001003,"Spherocylinder, single vision, plus or minus 4.25 to 7.00d sphere, over 6.00d   Spherocylinder 4.25d/over 6d3",Spherocylinder 4.25d/over 6d38      A,09-09-2025
V2110002004,"cylinder, per lens",,09-09-2025
V2111001003,"Spherocylinder, single vision, plus or minus 7.25 to plus or minus 12.00d       Spherocylindr 7.25d/.25-2.253",Spherocylindr 7.25d/.25-2.2538      A,09-09-2025
V2111002004,"sphere, .25 to 2.25d cylinder, per lens",,09-09-2025
V2112001003,"Spherocylinder, single vision, plus or minus 7.25 to plus or minus 12.00d       Spherocylindr 7.25d/2.25-4d 3",Spherocylindr 7.25d/2.25-4d 38      A,09-09-2025
V2112002004,"sphere, 2.25d to 4.00d cylinder, per lens",,09-09-2025
V2113001003,"Spherocylinder, single vision, plus or minus 7.25 to plus or minus 12.00d       Spherocylindr 7.25d/4.25-6d 3",Spherocylindr 7.25d/4.25-6d 38      A,09-09-2025
V2113002004,"sphere, 4.25 to 6.00d cylinder, per lens",,09-09-2025
V2114001003,"Spherocylinder, single vision, sphere over plus or minus 12.00d, per lens       Spherocylinder over 12.00d  3",Spherocylinder over 12.00d  38      A,09-09-2025
V2115001003,"Lenticular, (myodisc), per lens, single vision                                  Lens lenticular bifocal     3",Lens lenticular bifocal     38      A,09-09-2025
V2118001003,"Aniseikonic lens, single vision                                                 Lens aniseikonic single     3",Lens aniseikonic single     38      A,09-09-2025
V2121001003,"Lenticular lens, per lens, single                                               Lenticular lens, single     3","Lenticular lens, single     38      A                  2130.B",09-09-2025
V2199001003,"Not otherwise classified, single vision lens                                    Lens single vision not oth c4",Lens single vision not oth c46      A,09-09-2025
V2200001003,"Sphere, bifocal, plano to plus or minus 4.00d, per lens                         Lens spher bifoc plano 4.00d3",Lens spher bifoc plano 4.00d38      A,09-09-2025
V2201001003,"Sphere, bifocal, plus or minus 4.12 to plus or minus 7.00d, per lens            Lens sphere bifocal 4.12-7.03",Lens sphere bifocal 4.12-7.038      A,09-09-2025
V2202001003,"Sphere, bifocal, plus or minus 7.12 to plus or minus 20.00d, per lens           Lens sphere bifocal 7.12-20.3",Lens sphere bifocal 7.12-20.38      A,09-09-2025
V2203001003,"Spherocylinder, bifocal, plano to plus or minus 4.00d sphere, .12 to 2.00d      Lens sphcyl bifocal 4.00d/.13",Lens sphcyl bifocal 4.00d/.138      A,09-09-2025
V2203002004,"cylinder, per lens",,09-09-2025
V2204001003,"Spherocylinder, bifocal, plano to plus or minus 4.00d sphere, 2.12 to 4.00d     Lens sphcy bifocal 4.00d/2.13",Lens sphcy bifocal 4.00d/2.138      A,09-09-2025
V2204002004,"cylinder, per lens",,09-09-2025
V2205001003,"Spherocylinder, bifocal, plano to plus or minus 4.00d sphere, 4.25 to 6.00d     Lens sphcy bifocal 4.00d/4.23",Lens sphcy bifocal 4.00d/4.238      A,09-09-2025
V2205002004,"cylinder, per lens",,09-09-2025
V2206001003,"Spherocylinder, bifocal, plano to plus or minus 4.00d sphere, over 6.00d        Lens sphcy bifocal 4.00d/ove3",Lens sphcy bifocal 4.00d/ove38      A,09-09-2025
V2206002004,"cylinder, per lens",,09-09-2025
V2207001003,"Spherocylinder, bifocal, plus or minus 4.25 to plus or minus 7.00d sphere,.12   Lens sphcy bifocal 4.25-7d/.3",Lens sphcy bifocal 4.25-7d/.38      A,09-09-2025
V2207002004,"to 2.00d cylinder, per lens",,09-09-2025
V2208001003,"Spherocylinder, bifocal, plus or minus 4.25 to plus or minus 7.00d sphere, 2.12 Lens sphcy bifocal 4.25-7/2.3",Lens sphcy bifocal 4.25-7/2.38      A,09-09-2025
V2208002004,"to 4.00d cylinder, per lens",,09-09-2025
V2209001003,"Spherocylinder, bifocal, plus or minus 4.25 to plus or minus 7.00d sphere, 4.25 Lens sphcy bifocal 4.25-7/4.3",Lens sphcy bifocal 4.25-7/4.38      A,09-09-2025
V2209002004,"to 6.00d cylinder, per lens",,09-09-2025
V2210001003,"Spherocylinder, bifocal, plus or minus 4.25 to plus or minus 7.00d sphere, over Lens sphcy bifocal 4.25-7/ov3",Lens sphcy bifocal 4.25-7/ov38      A,09-09-2025
V2210002004,"6.00d cylinder, per lens",,09-09-2025
V2211001003,"Spherocylinder, bifocal, plus or minus 7.25 to plus or minus 12.00d sphere, .25 Lens sphcy bifo 7.25-12/.25-3",Lens sphcy bifo 7.25-12/.25-38      A,09-09-2025
V2211002004,"to 2.25d cylinder, per lens",,09-09-2025
V2212001003,"Spherocylinder, bifocal, plus or minus 7.25 to plus or minus 12.00d sphere,     Lens sphcyl bifo 7.25-12/2.23",Lens sphcyl bifo 7.25-12/2.238      A,09-09-2025
V2212002004,"2.25 to 4.00d cylinder, per lens",,09-09-2025
V2213001003,"Spherocylinder, bifocal, plus or minus 7.25 to plus or minus 12.00d sphere,     Lens sphcyl bifo 7.25-12/4.23",Lens sphcyl bifo 7.25-12/4.238      A,09-09-2025
V2213002004,"4.25 to 6.00d cylinder, per lens",,09-09-2025
V2214001003,"Spherocylinder, bifocal, sphere over plus or minus 12.00d, per lens             Lens sphcyl bifocal over 12.3",Lens sphcyl bifocal over 12.38      A,09-09-2025
V2215001003,"Lenticular (myodisc), per lens, bifocal                                         Lens lenticular bifocal     3",Lens lenticular bifocal     38      A,09-09-2025
V2218001003,"Aniseikonic, per lens, bifocal                                                  Lens aniseikonic bifocal    3",Lens aniseikonic bifocal    38      A,09-09-2025
V2219001003,Bifocal seg width over 28 mm                                                    Lens bifocal seg width over 3,Lens bifocal seg width over 38      A,09-09-2025
V2220001003,Bifocal add over 3.25d                                                          Lens bifocal add over 3.25d 3,Lens bifocal add over 3.25d 38      A,09-09-2025
V2221001003,"Lenticular lens, per lens, bifocal                                              Lenticular lens, bifocal    3","Lenticular lens, bifocal    38      A                  2130.B",09-09-2025
V2299001003,Specialty bifocal (by report)                                                   Lens bifocal speciality     4,Lens bifocal speciality     46      A,09-09-2025
V2300001003,"Sphere, trifocal, plano to plus or minus 4.00d, per lens                        Lens sphere trifocal 4.00d  3",Lens sphere trifocal 4.00d  38      A,09-09-2025
V2301001003,"Sphere, trifocal, plus or minus 4.12 to plus or minus 7.00d, per lens           Lens sphere trifocal 4.12-7.3",Lens sphere trifocal 4.12-7.38      A,09-09-2025
V2302001003,"Sphere, trifocal, plus or minus 7.12 to plus or minus 20.00, per lens           Lens sphere trifocal 7.12-203",Lens sphere trifocal 7.12-2038      A,09-09-2025
V2303001003,"Spherocylinder, trifocal, plano to plus or minus 4.00d sphere, .12-2.00d        Lens sphcy trifocal 4.0/.12-3",Lens sphcy trifocal 4.0/.12-38      A,09-09-2025
V2303002004,"cylinder, per lens",,09-09-2025
V2304001003,"Spherocylinder, trifocal, plano to plus or minus 4.00d sphere, 2.25-4.00d       Lens sphcy trifocal 4.0/2.253",Lens sphcy trifocal 4.0/2.2538      A,09-09-2025
V2304002004,"cylinder, per lens",,09-09-2025
V2305001003,"Spherocylinder, trifocal, plano to plus or minus 4.00d sphere, 4.25 to 6.00     Lens sphcy trifocal 4.0/4.253",Lens sphcy trifocal 4.0/4.2538      A,09-09-2025
V2305002004,"cylinder, per lens",,09-09-2025
V2306001003,"Spherocylinder, trifocal, plano to plus or minus 4.00d sphere, over 6.00d       Lens sphcyl trifocal 4.00/>63",Lens sphcyl trifocal 4.00/>638      A,09-09-2025
V2306002004,"cylinder, per lens",,09-09-2025
V2307001003,"Spherocylinder, trifocal, plus or minus 4.25 to plus or minus 7.00d sphere, .12 Lens sphcy trifocal 4.25-7/.3",Lens sphcy trifocal 4.25-7/.38      A,09-09-2025
V2307002004,"to 2.00d cylinder, per lens",,09-09-2025
V2308001003,"Spherocylinder, trifocal, plus or minus 4.25 to plus or minus 7.00d sphere,     Lens sphc trifocal 4.25-7/2.3",Lens sphc trifocal 4.25-7/2.38      A,09-09-2025
V2308002004,"2.12 to 4.00d cylinder, per lens",,09-09-2025
V2309001003,"Spherocylinder, trifocal, plus or minus 4.25 to plus or minus 7.00d sphere,     Lens sphc trifocal 4.25-7/4.3",Lens sphc trifocal 4.25-7/4.38      A,09-09-2025
V2309002004,"4.25 to 6.00d cylinder, per lens",,09-09-2025
V2310001003,"Spherocylinder, trifocal, plus or minus 4.25 to plus or minus 7.00d sphere,     Lens sphc trifocal 4.25-7/>63",Lens sphc trifocal 4.25-7/>638      A,09-09-2025
V2310002004,"over 6.00d cylinder, per lens",,09-09-2025
V2311001003,"Spherocylinder, trifocal, plus or minus 7.25 to plus or minus 12.00d sphere,    Lens sphc trifo 7.25-12/.25-3",Lens sphc trifo 7.25-12/.25-38      A,09-09-2025
V2311002004,".25 to 2.25d cylinder, per lens",,09-09-2025
V2312001003,"Spherocylinder, trifocal, plus or minus 7.25 to plus or minus 12.00d sphere,    Lens sphc trifo 7.25-12/2.253",Lens sphc trifo 7.25-12/2.2538      A,09-09-2025
V2312002004,"2.25 to 4.00d cylinder, per lens",,09-09-2025
V2313001003,"Spherocylinder, trifocal, plus or minus 7.25 to plus or minus 12.00d sphere,    Lens sphc trifo 7.25-12/4.253",Lens sphc trifo 7.25-12/4.2538      A,09-09-2025
V2313002004,"4.25 to 6.00d cylinder, per lens",,09-09-2025
V2314001003,"Spherocylinder, trifocal, sphere over plus or minus 12.00d, per lens            Lens sphcyl trifocal over 123",Lens sphcyl trifocal over 1238      A,09-09-2025
V2315001003,"Lenticular, (myodisc), per lens, trifocal                                       Lens lenticular trifocal    3",Lens lenticular trifocal    38      A,09-09-2025
V2318001003,"Aniseikonic lens, trifocal                                                      Lens aniseikonic trifocal   3",Lens aniseikonic trifocal   38      A,09-09-2025
V2319001003,Trifocal seg width over 28 mm                                                   Lens trifocal seg width > 283,Lens trifocal seg width > 2838      A,09-09-2025
V2320001003,Trifocal add over 3.25d                                                         Lens trifocal add over 3.25d3,Lens trifocal add over 3.25d38      A,09-09-2025
V2321001003,"Lenticular lens, per lens, trifocal                                             Lenticular lens, trifocal   3","Lenticular lens, trifocal   38      A                  2130.B",09-09-2025
V2399001003,Specialty trifocal (by report)                                                  Lens trifocal speciality    4,Lens trifocal speciality    46      A,09-09-2025
V2410001003,"Variable asphericity lens, single vision, full field, glass or plastic, per lensLens variab asphericity sing3",sLens variab asphericity sing38      A,09-09-2025
V2430001003,"Variable asphericity lens, bifocal, full field, glass or plastic, per lens      Lens variable asphericity bi3",Lens variable asphericity bi38      A,09-09-2025
V2499001003,"Variable sphericity lens, other type                                            Variable asphericity lens   4",Variable asphericity lens   46      A,09-09-2025
V2500001003,"Contact lens, pmma, spherical, per lens                                         Contact lens pmma spherical 3",Contact lens pmma spherical 38      A,09-09-2025
V2501001003,"Contact lens, pmma, toric or prism ballast, per lens                            Cntct lens pmma-toric/prism 3",Cntct lens pmma-toric/prism 38      A,09-09-2025
V2502001003,"Contact lens, pmma, bifocal, per lens                                           Contact lens pmma bifocal   3",Contact lens pmma bifocal   38      A,09-09-2025
V2503001003,"Contact lens, pmma, color vision deficiency, per lens                           Cntct lens pmma color vision3",Cntct lens pmma color vision38      A,09-09-2025
V2510001003,"Contact lens, gas permeable, spherical, per lens                                Cntct gas permeable sphericl3",Cntct gas permeable sphericl38      A,09-09-2025
V2511001003,"Contact lens, gas permeable, toric, prism ballast, per lens                     Cntct toric prism ballast   3",Cntct toric prism ballast   38      A,09-09-2025
V2512001003,"Contact lens, gas permeable, bifocal, per lens                                  Cntct lens gas permbl bifocl3",Cntct lens gas permbl bifocl38      A,09-09-2025
V2513001003,"Contact lens, gas permeable, extended wear, per lens                            Contact lens extended wear  3",Contact lens extended wear  38      A,09-09-2025
V2520001003,"Contact lens, hydrophilic, spherical, per lens                                  Contact lens hydrophilic    3",Contact lens hydrophilic    38      A45-7  65-1,09-09-2025
V2521001003,"Contact lens, hydrophilic, toric, or prism ballast, per lens                    Cntct lens hydrophilic toric3",Cntct lens hydrophilic toric38      A45-7  65-1,09-09-2025
V2522001003,"Contact lens, hydrophilic, bifocal, per lens                                    Cntct lens hydrophil bifocl 3",Cntct lens hydrophil bifocl 38      A45-7  65-1,09-09-2025
V2523001003,"Contact lens, hydrophilic, extended wear, per lens                              Cntct lens hydrophil extend 3",Cntct lens hydrophil extend 38      A45-7  65-1,09-09-2025
V2524001003,"Contact lens, hydrophilic, spherical, photochromic additive, per lens           Cntct lens hydrophil photoch3",Cntct lens hydrophil photoch38      A80.4,09-09-2025
V2525001003,"Contact lens, hydrophilic, dual focus, per lens                                 Cl, hydrophilic, dual focus 0","Cl, hydrophilic, dual focus 00      9",09-09-2025
V2526001003,"Contact lens, hydrophilic, with blue-violet filter, per lens                    Cntct lens blue violet      0",Cntct lens blue violet      00      9,09-09-2025
V2530001003,"Contact lens, scleral, gas impermeable, per lens (for contact lens              Contact lens gas impermeable3",Contact lens gas impermeable38      A,09-09-2025
V2530002004,"modification, see 92325)",,09-09-2025
V2531001003,"Contact lens, scleral, gas permeable, per lens (for contact lens modification,  Contact lens gas permeable  3",Contact lens gas permeable  38      A65-3,09-09-2025
V2531002004,see 92325),,09-09-2025
V2599001003,"Contact lens, other type                                                        Contact lens/es other type  4",Contact lens/es other type  46      A,09-09-2025
V2600001003,Hand held low vision aids and other nonspectacle mounted aids                   Hand held low vision aids   4,Hand held low vision aids   46      A,09-09-2025
V2610001003,Single lens spectacle mounted low vision aids                                   Single lens spectacle mount 4,Single lens spectacle mount 46      A,09-09-2025
V2615001003,"Telescopic and other compound lens system, including distance vision            Telescop/othr compound lens 4",Telescop/othr compound lens 46      A,09-09-2025
V2615002004,"telescopic, near vision telescopes and compound microscopic lens system",,09-09-2025
V2623001003,"Prosthetic eye, plastic, custom                                                 Plastic eye prosth custom   3",Plastic eye prosth custom   38      A                  2133,09-09-2025
V2624001003,Polishing/resurfacing of ocular prosthesis                                      Polishing artifical eye     3,Polishing artifical eye     38      A,09-09-2025
V2625001003,Enlargement of ocular prosthesis                                                Enlargemnt of eye prosthesis3,Enlargemnt of eye prosthesis38      A,09-09-2025
V2626001003,Reduction of ocular prosthesis                                                  Reduction of eye prosthesis 3,Reduction of eye prosthesis 38      A,09-09-2025
V2627001003,Scleral cover shell                                                             Scleral cover shell         3,Scleral cover shell         38      A65-3,09-09-2025
V2628001003,Fabrication and fitting of ocular conformer                                     Fabrication & fitting       3,Fabrication & fitting       38      A,09-09-2025
V2629001003,"Prosthetic eye, other type                                                      Prosthetic eye other type   4",Prosthetic eye other type   46      A,09-09-2025
V2630001003,Anterior chamber intraocular lens                                               Anter chamber intraocul lens5,Anter chamber intraocul lens56      A                  2130,09-09-2025
V2631001003,Iris supported intraocular lens                                                 Iris support intraoclr lens 5,Iris support intraoclr lens 56      A                  2130,09-09-2025
V2632001003,Posterior chamber intraocular lens                                              Post chmbr intraocular lens 5,Post chmbr intraocular lens 56      A                  2130,09-09-2025
V2700001003,"Balance lens, per lens                                                          Balance lens                3",Balance lens                38      A,09-09-2025
V2702001003,Deluxe lens feature                                                             Deluxe lens feature         0,Deluxe lens feature         00      9                  2130B,09-09-2025
V2710001003,"Slab off prism, glass or plastic, per lens                                      Glass/plastic slab off prism3",Glass/plastic slab off prism38      A,09-09-2025
V2715001003,"Prism, per lens                                                                 Prism lens/es               3",Prism lens/es               38      A,09-09-2025
V2718001003,"Press-on lens, fresnell prism, per lens                                         Fresnell prism press-on lens3",Fresnell prism press-on lens38      A,09-09-2025
V2730001003,"Special base curve, glass or plastic, per lens                                  Special base curve          3",Special base curve          38      A,09-09-2025
V2744001003,"Tint, photochromatic, per lens                                                  Tint photochromatic lens/es 3",Tint photochromatic lens/es 38      A                  2130B,09-09-2025
V2745001003,"Addition to lens; tint, any color, solid, gradient or equal, excludes           Tint, any color/solid/grad  3","Tint, any color/solid/grad  38      A                  2130.B",09-09-2025
V2745002004,"photochromatic, any lens material, per lens",,09-09-2025
V2750001003,"Anti-reflective coating, per lens                                               Anti-reflective coating     3",Anti-reflective coating     38      A                  2130B,09-09-2025
V2755001003,"U-v lens, per lens                                                              Uv lens/es                  3",Uv lens/es                  38      A                  2130B,09-09-2025
V2756001003,Eye glass case                                                                  Eye glass case              0,Eye glass case              00      9,09-09-2025
V2760001003,"Scratch resistant coating, per lens                                             Scratch resistant coating   3",Scratch resistant coating   38      A,09-09-2025
V2761001003,"Mirror coating, any type, solid, gradient or equal, any lens material, per lens Mirror coating              3",Mirror coating              38      A                  2130.B,09-09-2025
V2762001003,"Polarization, any lens material, per lens                                       Polarization, any lens      3","Polarization, any lens      38      A                  2130.B",09-09-2025
V2770001003,"Occluder lens, per lens                                                         Occluder lens/es            3",Occluder lens/es            38      A,09-09-2025
V2780001003,"Oversize lens, per lens                                                         Oversize lens/es            3",Oversize lens/es            38      A,09-09-2025
V2781001003,"Progressive lens, per lens                                                      Progressive lens per lens   0",Progressive lens per lens   00      9,09-09-2025
V2782001003,"Lens, index 1.54 to 1.65 plastic or 1.60 to 1.79 glass, excludes polycarbonate, Lens, 1.54-1.65 p/1.60-1.79g3","Lens, 1.54-1.65 p/1.60-1.79g38      A                  2130.B",09-09-2025
V2782002004,per lens,,09-09-2025
V2783001003,"Lens, index greater than or equal to 1.66 plastic or greater than or equal to   Lens, >= 1.66 p/>=1.80 g    3","Lens, >= 1.66 p/>=1.80 g    38      A                  2130.B",09-09-2025
V2783002004,"1.80 glass, excludes polycarbonate, per lens",,09-09-2025
V2784001003,"Lens, polycarbonate or equal, any index, per lens                               Lens polycarb or equal      3",Lens polycarb or equal      38      A                  2130.B,09-09-2025
V2785001003,"Processing, preserving and transporting corneal tissue                          Corneal tissue processing   4",Corneal tissue processing   46      A,09-09-2025
V2786001003,"Specialty occupational multifocal lens, per lens                                Occupational multifocal lens3",Occupational multifocal lens38      A                  2130.B,09-09-2025
V2787001003,Astigmatism correcting function of intraocular lens                             Astigmatism-correct function0,Astigmatism-correct function00      9                                          1862(a)(7),09-09-2025
V2788001003,Presbyopia correcting function of intraocular lens                              Presbyopia-correct function 0,Presbyopia-correct function 00      9                                          1862(a)(7),09-09-2025
V2790001003,"Amniotic membrane for surgical reconstruction, per procedure                    Amniotic membrane           5",Amniotic membrane           57      A,09-09-2025
